Date,Company,Ticker,Sector,RSI,PE,ROC
2020-12-01,JP Morgan Chase & Co.,JPM,Financial,53.23216211210181,11.819431,
2021-01-01,JP Morgan Chase & Co.,JPM,Financial,50.69520134015547,11.819431,
2021-02-01,JP Morgan Chase & Co.,JPM,Financial,55.619659020548816,11.819431,
2021-03-01,JP Morgan Chase & Co.,JPM,Financial,60.63942040259512,11.819431,
2021-04-01,JP Morgan Chase & Co.,JPM,Financial,69.70725113909609,11.819431,
2021-05-01,JP Morgan Chase & Co.,JPM,Financial,92.4036263055453,11.819431,
2021-06-01,JP Morgan Chase & Co.,JPM,Financial,83.5125115856282,11.819431,
2021-07-01,JP Morgan Chase & Co.,JPM,Financial,79.8358970330111,11.819431,
2021-08-01,JP Morgan Chase & Co.,JPM,Financial,84.08195823027233,11.819431,
2021-09-01,JP Morgan Chase & Co.,JPM,Financial,84.27593361930958,11.819431,
2021-10-01,JP Morgan Chase & Co.,JPM,Financial,84.55201535304657,11.819431,
2021-11-01,JP Morgan Chase & Co.,JPM,Financial,79.76674059273164,11.819431,
2021-12-01,JP Morgan Chase & Co.,JPM,Financial,79.09951525476585,11.819431,
2022-01-01,JP Morgan Chase & Co.,JPM,Financial,67.0111925236929,11.819431,
2022-02-01,JP Morgan Chase & Co.,JPM,Financial,59.75957306665891,11.819431,
2022-03-01,JP Morgan Chase & Co.,JPM,Financial,55.82597464702838,11.819431,
2022-04-01,JP Morgan Chase & Co.,JPM,Financial,37.44966469473077,11.819431,
2022-05-01,JP Morgan Chase & Co.,JPM,Financial,42.70510079366697,11.819431,
2022-06-01,JP Morgan Chase & Co.,JPM,Financial,35.19993274798023,11.819431,
2022-07-01,JP Morgan Chase & Co.,JPM,Financial,30.52469027818992,11.819431,
2022-08-01,JP Morgan Chase & Co.,JPM,Financial,32.763414416851504,11.819431,
2022-09-01,JP Morgan Chase & Co.,JPM,Financial,31.12408428437395,11.819431,
2022-10-01,JP Morgan Chase & Co.,JPM,Financial,38.09438043078901,11.819431,
2022-11-01,JP Morgan Chase & Co.,JPM,Financial,42.657169365575605,11.819431,
2022-12-01,JP Morgan Chase & Co.,JPM,Financial,38.7205569011617,11.819431,
2023-01-01,JP Morgan Chase & Co.,JPM,Financial,44.49979066569586,11.819431,
2023-02-01,JP Morgan Chase & Co.,JPM,Financial,46.53733618698098,11.819431,
2023-03-01,JP Morgan Chase & Co.,JPM,Financial,45.26741321897314,11.819431,
2023-04-01,JP Morgan Chase & Co.,JPM,Financial,50.35551582129876,11.819431,
2023-05-01,JP Morgan Chase & Co.,JPM,Financial,51.815955167549845,11.819431,
2023-06-01,JP Morgan Chase & Co.,JPM,Financial,62.33530801602268,11.819431,
2023-07-01,JP Morgan Chase & Co.,JPM,Financial,62.09741407543022,11.819431,
2023-08-01,JP Morgan Chase & Co.,JPM,Financial,66.58562537544293,11.819431,
