Date,JPM,GS,BAC,XOM,CVX,SLB,GE,CAT,MMM,JNJ,PFE,MRK,MSFT,INTC,CSCO,AMZN,HD,F,PG,KO,PEP,SPG,PSA,EQR,T,VZ,CMCSA,DD,SHW,DUK,SO,EXC
12/1/2018,92.26677704,164.5010376,24.23234749,59.00028992,90.50958252,37.55482864,34.90405273,117.2192764,136.7294617,123.3802567,33.58567429,62.25886536,104.3100967,42.43723679,39.3053894,84.50849915,154.6320343,6.847420692,80.2587204,41.53157425,100.8696671,131.0572815,163.4111176,56.21641922,14.53621578,42.45998001,33.15948105,72.9119339,133.6685791,68.63226318,36.79346848,26.57921219
1/1/2019,81.00623322,144.1076813,21.14161873,50.60665131,82.78577423,30.37185478,35.27828217,109.7888412,125.3002548,108.3881912,31.71133614,60.38000107,95.54311371,40.38895035,35.57765579,75.09850311,147.3428497,5.566711903,78.05925751,39.01826096,92.11551666,118.5648727,156.5608368,52.51012039,13.27988529,39.58707047,29.10434341,67.40413666,124.0202103,66.87325287,34.1425972,25.84011078
2/1/2019,86.58301544,170.8156891,24.42783928,54.38414764,87.24502563,37.21562576,47.34839249,115.790802,131.7185211,111.7729645,31.10888672,58.81536484,98.23340607,40.55246735,39.12981796,85.93650055,157.3846741,6.515099049,82.57111359,39.66101456,93.94149017,128.5376129,164.3807831,57.72055435,14.29575348,39.17489624,31.25831604,67.82003784,132.8648224,68.02009583,37.78074265,27.36415291
3/1/2019,87.30243683,170.3708496,25.07861328,59.30263138,91.91132355,37.51873016,50.35707092,119.42556,137.3238525,115.5241241,31.76844025,64.23622131,105.8325119,45.86740494,42.83676147,81.99150085,158.7653503,6.492887974,84.35145569,37.36194229,97.19965363,129.2958679,163.5840607,58.61946487,14.79986382,40.49826813,33.05330276,67.54839325,136.8982544,70.20407867,39.10497665,28.05069733
4/1/2019,84.68404388,166.2913208,23.79363632,60.63080215,94.67836761,37.10148239,48.46968079,117.8168716,137.5820618,118.1873322,31.1235466,66.16779327,111.4155655,46.50829697,44.67368317,89.03749847,165.7790985,6.500291824,89.05902863,38.95158005,103.0077591,130.0453033,170.0029297,60.3746376,14.91400051,42.07068253,34.17301941,67.64990234,136.1113892,70.47032166,40.67106247,28.93972969
5/1/2019,97.82458496,178.3567352,26.37221336,60.24060822,92.28026581,36.34360504,49.34300995,121.9690857,125.4845505,119.3794403,29.76046371,62.61955261,123.3752289,44.20454025,46.58859253,96.3259964,175.9820404,7.860796928,91.78233337,40.78028107,107.6307373,123.9716034,172.657074,61.25636292,15.03725815,41.1096077,37.40224838,72.55477142,143.7336884,71.34724426,41.88301849,29.41310883
6/1/2019,89.31920624,158.7753754,22.93986511,53.71319199,88.36811066,29.53982544,45.80118561,104.8136368,106.68396,111.641243,30.6972065,63.01732254,117.2705231,38.37559128,43.32447052,88.75350189,164.0166626,7.161222935,88.70510864,40.83847046,107.5886917,117.0409698,185.6933899,61.37659836,14.8526926,39.06814957,35.22839737,57.807827,132.9015503,67.75740814,42.59184265,27.96000481
7/1/2019,94.24204254,178.0121307,25.14476013,58.16082001,96.58785248,34.3236618,50.99314499,119.2308884,115.7595978,118.561882,32.02801895,67.15432739,127.0177994,41.71298599,45.57271194,94.6815033,180.9312744,7.695307255,94.51476288,42.65678787,111.0265732,115.3585205,187.4580536,61.31593323,16.27578545,41.06647491,36.32821655,67.18471527,145.2078857,69.83898926,44.00891876,27.87858582
8/1/2019,98.47468567,191.5240479,26.60142326,56.4379425,95.55554199,34.52231216,50.75032043,116.0754852,116.6811829,110.8495712,28.71578979,66.46557617,129.2080841,44.04827499,46.42173767,93.33899689,185.907608,7.275742531,102.4056015,44.08930969,108.2155457,117.1203918,191.0707092,63.71464539,16.87067223,40.14764404,37.27621078,64.84655762,162.5552521,68.63594818,44.74134064,26.20377922
9/1/2019,93.26233673,178.5252686,23.85283852,52.62137985,92.31121063,28.00997162,40.06604004,104.9060822,108.987793,110.0850143,26.52927589,69.25263977,131.1509552,41.5910759,39.22386169,88.8144989,198.2788239,7.000897408,104.3055191,46.10821533,115.7680206,109.0511551,208.3706665,68.45546722,17.47019196,42.24691772,38.21740341,61.04524612,167.266037,74.18999481,46.88573074,27.70407677
10/1/2019,99.90937805,181.4319153,25.45885849,54.25810242,93.00128174,29.97496796,43.46395111,111.3502884,110.7939148,110.9598083,26.81284904,67.86666107,132.2640076,45.20539474,41.40250397,86.79550171,203.0871124,6.993263245,107.9058456,45.93901443,116.8834991,113.9640579,194.6031189,70.12601471,18.74849319,43.84498978,38.92544937,64.08267975,174.607666,76.68592834,49.71046448,28.3195858
11/1/2019,106.8965607,186.81633,27.29168892,51.92210388,91.07224274,28.67666245,48.52017593,122.4343567,111.1915359,113.2410965,28.63370895,69.86605835,136.3927765,49.59171677,40.11194229,88.83300018,205.3279114,6.665720463,108.7086334,45.93057632,116.9431458,110.3251419,176.8225098,72.07714081,19.42043114,44.38193893,38.88208008,59.22998047,181.7365265,75.40597534,50.42670441,26.66649246
12/1/2019,112.7497101,194.886795,29.08087921,52.98378372,92.7536087,31.75574684,54.79181671,128.591568,115.4034729,118.7320862,29.02345276,70.28529358,144.5030212,51.20542908,38.25452042,90.04000092,193.0124359,7.030433655,106.5695801,45.39801025,115.800766,112.2403793,167.1585693,69.18301392,18.86036682,44.21313095,38.3008461,58.51122665,185.5246277,71.29510498,50.38824844,26.24158669
1/1/2020,119.287384,202.4409943,30.90697289,54.26696777,95.43015289,35.7563591,54.30620956,131.212616,119.9238739,125.9687958,29.52074242,73.82746887,150.5358887,52.79319382,40.49186325,92.39199829,192.370575,7.216669083,109.0491638,47.05578995,117.3330078,110.5702362,170.5928955,66.25102234,19.71812248,45.06450653,39.01220322,57.96051025,185.6550598,73.75327301,51.77821732,26.94491196
2/1/2020,113.9902344,209.3261261,28.80965233,48.30989456,84.84265137,29.80587006,60.58354187,117.5221786,107.8512802,128.559494,28.34564972,69.35481262,162.4967041,56.39213181,39.0970726,100.435997,200.9329376,6.960594654,109.4511108,49.64876175,121.9260635,98.83474731,179.244339,68.01944733,19.31930733,44.07997894,37.64500046,46.20590591,177.2081146,78.94457245,57.2242775,28.12695503
3/1/2020,99.9955368,177.8480225,25.00989914,40.57851028,74.77852631,24.45143509,52.94368362,111.1606598,102.3665771,116.8732834,25.43801117,62.14658356,155.0725403,49.21492386,33.96010208,94.1875,191.8948517,5.492714882,99.44750977,45.47451782,113.3494949,92.75970459,167.5168457,61.48604584,18.08681488,40.16439819,35.23934555,38.97805786,164.8260498,74.87208557,49.50467682,25.67434692
4/1/2020,77.53508759,136.9403992,18.74905777,29.9526844,58.05069351,12.1760788,38.67559433,103.8239136,93.63484192,113.9618988,24.84430122,62.9709816,150.9566956,47.97390747,33.43279648,97.48600006,165.5729675,3.811754227,96.61067963,37.94906235,103.8036499,41.34543228,160.692627,51.03104782,14.96963978,39.84552383,30.16154861,30.98255157,146.5715637,66.03768158,44.40330505,21.92235374
5/1/2020,83.32682037,162.4788818,21.23951149,36.65792465,73.70500946,15.18173409,33.12266922,105.0840836,104.2048416,130.3961182,29.19814682,64.93525696,171.5359955,53.16841888,36.38554382,123.6999969,194.9434814,4.016942024,104.2131424,39.35552979,114.3395844,50.32144928,150.0450745,53.80133438,16.0140419,43.06241608,33.01277161,42.72138977,171.0841675,69.12400055,46.52750015,22.08315277
6/1/2020,84.67556763,175.1446991,21.30133438,36.56455231,74.54318237,16.6710186,32.00234985,108.4701385,108.3694763,130.1711273,29.35844803,66.06471252,175.89151,56.09851456,41.05608368,122.1184998,220.3500519,4.5062356,102.4890594,40.03303909,113.7000198,43.48581314,164.0341949,50.0800705,16.21901321,43.00994873,34.74105072,46.37351227,189.868988,70.7322464,47.35997772,23.0632534
